28,7
0,39,64,icon/0,0,100,1
1,40,65,icon/1,0,100,1
2,41,66,icon/2,0,100,1
3,42,67,icon/3,0,-1,0
4,43,68,icon/4,0,-1,0
5,44,69,icon/5,0,-1,0
6,45,70,icon/6,5,50,4
7,46,71,icon/7,5,150,4
8,47,72,icon/8,5,300,4
9,48,73,icon/9,5,100,4
10,49,74,icon/10,5,300,4
11,50,75,icon/11,99,-1,0
12,51,76,icon/12,8,-1,0
13,52,77,icon/13,16,-1,0
14,53,78,icon/14,1,5,3
15,54,79,icon/15,1,5,3
16,55,80,icon/16,1,5,3
17,56,81,icon/17,1,20,3
18,57,82,icon/18,1,20,3
19,152,161,icon/21,99,50,2
20,153,161,icon/22,99,120,2
21,154,161,icon/23,99,150,2
22,155,161,icon/24,99,40,2
23,156,161,icon/25,99,84,2
24,157,161,icon/26,99,100,2
25,158,161,icon/27,99,28,2
26,159,161,icon/28,99,30,2
27,160,161,icon/29,99,70,2
