30,11

1,2,2,0,0,12,135,36,0,2,z5
1,2,2,0,-104,14,9,13,0,0,null;敌等级1位
4,2,2,0,-62,34,53,8,0,0,hp
1,2,2,0,0,0,67,45,0,0,null
1,2,0,2,0,-17,135,36,0,0,z5
1,2,0,2,3,-1,139,20,0,0,z2
4,2,0,2,62,-23,53,8,0,0,hp
4,2,0,2,55,-8,38,8,0,0,bp
1,2,2,0,-66,12,39,17,0,0,null;敌名
1,2,0,2,101,-8,8,8,0,0,d1
1,2,0,2,109,-8,8,8,0,0,d0
1,2,0,2,117,-8,8,8,0,0,d0
1,2,0,2,64,-35,39,17,0,0,null;我名
1,2,0,2,0,-3,67,69,0,2,null
1,2,0,2,111,-37,9,13,0,0,null;我等级1位
1,2,2,2,-21,-1,103,16,0,0,z4
1,2,2,2,-24,-4,29,25,0,0,s3
1,2,2,2,-54,-4,29,25,0,0,s2
1,2,2,2,-84,-4,29,25,0,0,s1
1,2,2,0,-10,50,33,20,0,0,null
1,2,0,2,67,-54,33,20,0,0,null
1,2,0,2,0,-3,19,19,0,0,null
1,1,1,0,0,220,150,20,0
1,2,2,0,-113,14,9,13,0,0,null;敌等级2位20
1,2,0,2,102,-37,9,13,0,0,null;我等级2位21
4,2,2,2,-24,-4,29,25,0,0,ss
4,2,2,2,-54,-4,29,25,0,0,ss
4,2,2,2,-84,-4,29,25,0,0,ss
1,2,2,2,-1,-1,20,11,0,0,null
1,2,0,2,1,-1,20,11,0,0,null
